"Time","Events"
0:00:00,DIGI Trigger
0:00:05.8560,Marker Button1
0:00:07.5120,Marker Button2
0:00:11.5640,Marker Button1
0:00:13.8840,Marker Button2
0:00:17.0520,Marker Button1
0:00:20.0720,Marker Button2
0:00:26.5360,DIGI Trigger
