"Time","Events"
0:00:00,DIGI Trigger
0:00:01.3380,Marker Button1
0:00:03.8720,Marker Button2
0:00:06.9540,Marker Button1
0:00:11.6500,Marker Button2
0:00:14.4180,Marker Button1
0:00:17.2620,Marker Button2
0:00:19.4720,DIGI Trigger
