"Time","Events"
0:00:00,DIGI Trigger
0:00:03.1780,Marker Button1
0:00:04.2900,Marker Button2
0:00:07.1500,Marker Button1
0:00:09.1340,Marker Button2
0:00:12.4920,Marker Button1
0:00:14.6280,Marker Button2
0:00:17.6940,Marker Button1
0:00:18.9920,Marker Button2
0:00:22.2980,Marker Button1
0:00:24.9680,Marker Button2
0:00:29.3340,Marker Button1
0:00:30.9260,Marker Button2
0:00:33.9460,Marker Button1
0:00:36.1480,Marker Button2
0:00:38.5140,Marker Button1
0:00:41.8280,Marker Button2
0:00:45.4320,DIGI Trigger
