"Time","Events"
0:00:00,DIGI Trigger
0:01:20.0260,Marker Button
0:01:21.9100,Marker Button
0:02:56.5420,Marker Button
0:02:58.4240,Marker Button
0:03:32.7300,Marker Button
0:03:35.1900,Marker Button
0:04:15.8080,Marker 1
0:04:17.6139,Marker 1
0:04:52.6700,Marker 1
0:04:56.7160,Marker 1
0:05:03.2700,DIGI Trigger
