"Time","Events"
0:00:00,DIGI Trigger
0:00:01.4720,Marker Button1
0:00:03.2680,Marker Button2
0:00:05.5840,Marker Button1
0:00:07.7340,Marker Button2
0:00:10.2960,Marker Button1
0:00:11.0940,Marker Button2
0:00:13.0280,Marker Button1
0:00:16.4800,Marker Button2
0:00:18.2460,Marker Button1
0:00:20.2860,Marker Button2
0:00:20.8700,DIGI Trigger
