"Time","Events"
0:00:00,DIGI Trigger
0:00:01.0720,Marker Button1
0:00:02.7280,Marker Button1
0:00:04.4540,Marker Button1
0:00:06.5300,Marker Button1
0:00:08.2800,Marker Button1
0:00:10.1240,Marker Button1
0:00:13.3180,Marker Button1
0:00:16.9340,Marker Button1
0:00:20.7140,Marker Button1
0:00:22.6260,Marker Button1
0:00:24.4460,Marker Button1
0:00:26.6860,Marker Button1
0:00:30.6500,Marker Button1
0:00:33.8460,Marker Button2
0:00:34.9440,Marker Button2
0:00:36.2960,Marker Button2
0:00:37.4620,DIGI Trigger
